prime,trace
8963,144
8969,112
8971,-124
8999,-51
9001,15
9007,88
9011,81
9013,-70
9029,-16
9041,57
9043,-140
9049,-90
9059,-25
9067,-39
9091,65
9103,-104
9109,-40
9127,120
9133,96
9137,76
9151,-134
9157,-43
9161,169
9173,-144
9181,-96
9187,-130
9199,125
9203,111
9209,-9
9221,-28
9227,-146
9239,-3
9241,-22
9257,-143
9277,71
9281,25
9283,-4
9293,-48
9311,96
9319,64
9323,-116
9337,-103
9341,-45
9343,96
9349,-15
9371,-135
9377,19
9391,-53
9397,0
9403,17
9413,-3
9419,38
9421,61
9431,109
9433,-74
9437,-174
9439,80
9461,-158
9463,51
9467,-14
9473,-41
9479,105
9491,20
9497,-16
9511,-141
9521,120
9533,58
9539,-80
9547,-57
9551,0
9587,-30
9601,-4
9613,-19
9619,5
9623,-33
9629,107
9631,-35
9643,-34
9649,99
9661,190
9677,174
9679,143
9689,-26
9697,183
9719,-123
9721,26
9733,-124
9739,-58
9743,-44
9749,170
9767,72
9769,130
9781,172
9787,169
9791,144
9803,-131
9811,123
9817,8
9829,88
9833,152
9839,-40
9851,78
9857,144
9859,122
9871,-50
9883,16
9887,-162
9901,-133
9907,-166
9923,134
9929,60
9931,133
9941,138
9949,-14
9967,-80
9973,-25
10007,-82
10009,-150
10037,-125
10039,90
10061,-38
10067,-80
10069,151
10079,144
10091,-146
10093,-122
10099,-142
10103,184
10111,-4
10133,-3
10139,-32
10141,-116
10151,-174
10159,61
10163,51
10169,-163
10177,179
10181,27
10193,126
10211,84
10223,12
10243,-169
10247,-83
10253,14
10259,138
10267,-96
10271,12
10273,-87
10289,-50
10301,-81
10303,66
10313,-64
10321,-52
10331,-72
10333,-132
10337,-13
10343,128
10357,98
10369,-152
10391,-143
10399,-54
10427,28
10429,147
10433,96
10453,-192
10457,-87
10459,11
10463,-144
10477,-124
10487,123
10499,-107
10501,-38
10513,22
10529,46
10531,60
10559,48
10567,-135
10589,159
10597,102
10601,100
10607,-82
10613,52
10627,-118
10631,-100
10639,-190
10651,-2
10657,-18
10663,-80
10667,181
10687,127
10691,82
10709,-19
10711,-5
10723,111
10729,-14
10733,-93
10739,101
10753,154
10771,73
10781,34
10789,-104
10799,-111
10831,80
10837,-91
10847,-28
10853,-116
10859,-122
10861,60
10867,-115
10883,-81
10889,18
10891,-128
10903,-37
10909,101
10937,-138
10939,166
10949,-120
10957,-3
10973,99
10979,-20
10987,147
10993,-22
11003,44
11027,-8
11047,32
11057,-8
11059,46
11069,-130
11071,-76
11083,134
11087,54
11093,-106
11113,111
11117,-123
11119,50
11131,-135
11149,8
11159,63
11161,-86
11171,72
11173,-34
11177,-178
11197,-10
11213,66
11239,-49
11243,-90
11251,-143
11257,98
11261,-45
11273,-2
11279,64
11287,-17
11299,-20
11311,175
11317,-154
11321,-102
11329,6
11351,-180
11353,58
11369,162
11383,-8
11393,10
11399,80
11411,60
11423,183
11437,-110
11443,-180
11447,39
11467,56
11471,-56
11483,12
11489,3
11491,1
11497,67
11503,6
11519,-66
11527,-11
11549,-50
11551,-181
11579,13
11587,130
11593,-37
11597,-97
11617,164
11621,163
11633,114
11657,121
11677,123
11681,-30
11689,-163
11699,-140
11701,90
11717,-48
11719,-211
11731,-68
11743,-179
11777,56
11779,100
11783,-84
11789,-78
11801,38
11807,-165
11813,-19
11821,-22
11827,-47
11831,198
11833,184
11839,-44
11863,-165
11867,-2
11887,-144
11897,64
11903,152
11909,-58
11923,-116
11927,120
11933,-186
11939,103
11941,-128
11953,-190
11959,-136
11969,80
11971,-188
11981,97
11987,140
12007,-147
12011,104
12037,90
12041,-36
12043,-39
12049,-128
12071,80
12073,122
12097,26
12101,-30
12107,52
12109,-134
12113,85
12119,-184
12143,-86
12149,82
12157,-140
12161,-91
12163,174
12197,-82
12203,43
12211,-174
12227,-183
12239,25
12241,-208
12251,218
12253,-38
12263,-12
12269,-49
12277,-107
12281,86
12289,13
12301,122
12323,32
12329,171
12343,164
12347,-52
12373,-192
12377,22
12379,-93
12391,70
12401,-120
12409,180
12413,183
12421,16
12433,-26
12437,71
12451,-196
12457,69
12473,-38
12479,-48
12487,-112
12491,114
